Lidepla,Type,English,Russian,Source
amusa ,kwo, (kwo) amusement,,
amusi-she ,kwel, (kwel) amusing,,
an ,konekti, (konekti) indicates object of action,"предлог, указывающий объект/цель действия: fai gola an koysa - прицелиться во что-л.; darba an tabla удар по столу; wuli an luna выть на луну; kansa an dom взгляд на дом; lopi kun sikin an koywan побежать с ножом на кого-л.",
fai gola an koysa,,take aim at smth,,
darba an tabla,,a strike on the table,,
wuli an luna ,, howl at the moon,,
kansa an dwar ,, a glance at the door,,
lopi kun sikin an koywan ,, to run at someone with a knife,,
anakronisma ,kwo, (kwo) anachronism,анахронизм,
analis ,kwo, (kwo) analysis,анализ; разбор; analisi анализировать; analiser аналитик; анализатор,
analisi ,zwo, (zwo) analyse,,
analiser ,kwo, (kwo) analyst; analyser,,
analoge ,kwel, (kwel) analogous,"аналогичный; analoga аналог; analogitaa аналогия, аналогичность",
analogem ,komo, (komo) analogously,,
analoga ,kwo, (kwo) analogue,,
analogitaa ,kwo," (kwo) analogy, analogousness",,
ananas ,kwo, (kwo) pineapple,ананас,
anar ,kwo, (kwo) pomegranate (fruit),гранат; anarbaum гранатовое дерево,
anarbaum ,kwo, (kwo) pomegranate (tree),,Hindi
anarkia ,kwo, (kwo) anarchy,анархия; anarkike анархический; anarkista анархист,
anarkike ,kwo, (kwo) anarchic,,
anarkista ,kwo, (kwo) anarchist,,
anatomia ,kwo, (kwo) anatomy,анатомия,
anchun ,kwel," (kwel) safe, secure",безопасный; anchuntaa безопасность,
anchuntaa ,kwo," (kwo) safety, security",,Mandarin
Andaman-ney mar ,kwo, (kwo) Andaman Sea,Андаманское море,
Andes ,kwo, (kwo) Andes,Анды,
Andora ,kwo, (kwo) Andorra,Андорра,
anekdot ,kwo," (kwo) anecdote, joke, funny story",анекдот,Bulgarian
anestesia ,kwo, (kwo) anaesthesia,анестезия,
angila ,kwo, (kwo) eel,угорь,Spanish
anglosaxon ,," (kwo, kwel) Anglo-Saxon",англосакс; англосакский,
Angola ,kwo, (kwo) Angola,Ангола,
angula ,kwo, (kwo) angle; corner,угол (во всех смыслах); triangula треугольник; rektangula прямоугольник; turni angula завернуть за угол,
agude angula ,, acute angle,,
tupe angula ,, obtuse angle,,
rekte angula ,, right angle,,
triangula ,, triangle,,
rektangula ,, rectangle,,
turni angula ,, turn (round) the corner,,
Anhel-akwalwo ,kwo, (kwo) Angel Falls,водопад Анхель,
animal ,kwo, (kwo) animal,животное,
animi ,zwo," (zwo) animate, endow with life; enliven, give animation to","одушевлять; оживлять, придавать живость; вдыхать жизнь (в кого-либо); придавать жизнь (чему-либо); animi-ney оживлённый, живой; anima одушевление; воодушевление, пыл, увлечение; shwo kun anima говорить с увлечением; animasion анимация",
animi-ney ,kwel, (kwel) animated,,
anima ,kwo, (kwo) animation,,
shwo kun anima ,, speak with animation,,
animasion ,kwo, (kwo) animation ((making) cartoon),,
anis ,kwo, (kwo) anise,анис,Finnish
anjel ,kwo, (kwo) angel,"ангел; anjellik ангелоподобный, ангельский",
anjellik ,kwel," (kwel) angel-like, angelic",,
anka ,kwo, (kwo) anchor,"якорь; anki, fai anka вставать на якорь; mah-lwo anka бросить якорь; ankilok якорное место, место для стоянки судна",
"fai anka, anki ",zwo, (zwo) anchor,,
mah-lwo anka ,, cast/drop anchor,,
ankilok ,kwo, (kwo) berth (space to moor),,
ankur ,kwo," (kwo) sprout, shoot","росток; побег; ankuri всходить, прорастать",
ankuri ,zwo," (zwo) sprout, spring up",,Hindi
anonime ,kwel, (kwel) anonymous,анонимный,
ansambla ,kwo, (kwo) ensemble,ансамбль,
anshi ,zwo, (zwo) hint,"намекать, давать понять, наводить на мысль; ansha намёк",
ansha ,kwo, (kwo) hint,,Mandarin
Antarktida ,kwo, (kwo) Antarctica (continent),Антарктида,
Antarktika ,kwo, (kwo) Antarctica (south polar region),Антарктика; antarktike антарктический,
antarktike ,kwel, (kwel) antarctic,,
antena ,kwo, (kwo) antenna,антенна,
Antigua e Barbuda ,kwo, (kwo) Antigua and Barbuda,Антигуа и Барбуда,
antilopa ,kwo, (kwo) antelope,антилопа,
antipatia ,kwo, (kwo) antipathy,антипатия,
antonim ,kwo, (kwo) antonym,антоним,
antra ,kwo, (kwo) gut,кишка; antratot кишечник,
antratot ,kwo, (kwo) intestine,,Hindi
anubav ,kwo, (kwo) experience,"опыт; anubavi познавать, переживать на опыте; anubav-ney jen опытный человек",
anubav-ney jen ,," experienced person, man of experience",,
anubavi ,zwo," (zwo) experience (cf. ""trajivi"")",,Hindi
anunsi ,zwo, (zwo) announce; give notice of,"объявлять, извещать; anunsa объявление, анонс",
anunsa ,kwo, (kwo) announcement,,
anus ,kwo, (kwo) anus,анус,
aparat ,kwo, (kwo) apparatus,аппарат; прибор,
apari ,zwo, (zwo) appear (come into existence; to become visible ,появляться; apara появление,
apara ,kwo, (kwo) appearance,,
aparte ,kwel," (kwel) separate, detached, apart (from others)","отдельный; apartem отдельно, обособленно; в стороне; apartnik отшельник",
apartem ,komo, (komo) apart,,
apartem fon otres ,, apart from the others,,
apartnik ,kwo, (kwo) hermit,,
apeli ,zwo, (zwo) appeal (but not “to be attractive”),"взывать; аппелировать, обращаться; apela аппеляция, обращение, воззвание",
apela ,kwo, (kwo) appeal,,
apena ,komo," (komo) hardly, scarcely, barely","едва, еле, с трудом; едва ли, еле; вряд ли",
apetit ,kwo, (kwo) appetite,аппетит,
apliki ,zwo," (zwo) apply (put on, upon, or to; put to or adapt for a special use; put into action)",применять; aplika применение; apliki-ney (apliken) прикладной,
aplika ,kwo, (kwo) application,,
apliki-ney (apliken) ,kwel, (kwel) applied,,
apliken fisika ,, applied physics,,
aplodi ,zwo, (zwo) applaud,аплодировать; aploda аплодисменты,
aploda ,kwo," (kwo) applause, clapping",,
apoga ,kwo," (kwo) support, prop, rest",опора; apogi опирать(ся); подпирать; прислоняться; apogi on tabla опереться о стол,
apogi ,zwo," (zwo) prop, lean, rest",,
apogi on tabla ,, lean agaist the table,,
apoplexia ,kwo, (kwo) apoplexy,апоплексия; apoplexike darba (japat) апоплексический удар,
apoplexike darba (japat) ,, apoplectic stroke,,
aprikos ,kwo, (kwo) apricot,абрикос,
april ,kwo, (kwo) April (also mes-char),апрель (тж. mes-char),
aprobi ,zwo," (zwo) approve, give approbation to","одобрять; утверждать; aproba одобрение; разрешение, санкция, согласие",
aproba ,kwo, (kwo) approbation,,
apropoo ,, (konekti-komo) apropos; by the way,"кстати (говоря); apropoo om по поводу, насчёт",
"Apropoo, me haishi bu he lekti sey kitaba. ",," By the way, I have not yet read this book. Apropoo sey kitaba, it es ya muy interes-ney. ",,
arabeska ,kwo, (kwo) arabesque,"арабеска, восточный узор, орнамент",
arabi ,," (kwel, kwo) Arab; Arabic; Arabic language",араб; арабский; арабский язык; ob yu shwo arabi? вы говорите по-арабски?,
Arabiya Saudiya ,kwo, (kwo) Saudi Arabia,Саудовская Арабия,
aramaya ,," (kwel, kwo) Aramaic",арамейский; арамеец; арамейский язык,
aranji ,zwo, (zwo) arrange (plan or prerare for; bring about or come to an agreement; settle),"устраивать, организовывать; уславливаться, договариваться, назначать; mita aranji-ney fo klok dwa встреча, назначенная на 2 часа; aranja договорённость, уговор, сделка; aranjen! договорились!",
aranji mita ,, make an appointment,,
Aranjen! ,, It’s a deal! Agreed!,,
aranja ,kwo," (kwo) arrangement, deal",,
arda ,kwo, (kwo) earth,"земля (планета; суша; почва); ardagloba земной шар; ardalok территория, участок",
ardagloba ,kwo, (kwo) globe (the planet Earth),,Arabic
ardanuta ,kwo, (kwo) peanut (Origin: arda+nuta),арахис,
area ,kwo, (kwo) area (measure of extent of a surface),площадь (геом.),
arena ,kwo, (kwo) arena,арена (в разн. значениях),
arendi ,zwo," (zwo) lease, rent, charter","арендовать; брать напрокат; arenda аренда, наём; arendaguan пункт проката",
arenda ,kwo, (kwo) lease,,
arendaguan ,kwo, (kwo) rental agency,,
aresti ,zwo," (zwo) arrest, make a prisoner",арестовать; aresta арест,
aresta ,kwo," (kwo) arrest, custody",,
argenta ,kwo, (kwo) silver,серебро; argenta-ney (argente) серебряный; argentefai серебриться,
argente ,kwel, (kwel) silver,,
argentefai ,zwo, (zwo) shine silver,,
argon ,kwo, (kwo) argon (chem.),аргон,
argumenta ,kwo," (kwo) argument (statement put forth as proof, reason)","аргумент, довод, доказательство",
Arhentina ,kwo, (kwo) Argentina,Аргентина,
arhiduka ,kwo, (kwo) archduke,эрцгерцог,
arigatoo ,exklami," (exklami) thanks, thank you Syn.: danke, shukran",,Japanese
aritmetika ,kwo, (kwo) arithmetic,арифметика; aritmetike арифметический,
aritmetike ,kwel," (kwel) arithmetic, arithmetical",,
arivi ,zwo," (zwo) arrive (at destination, at a certain place)","прибывать, приезжать; дойти; ariva прибытие",
ariva ,kwo, (kwo) arrival Ant.: departi,,
arka ,kwo, (kwo) arc; arch (cf. “raduga”),"арка, дуга",
arkaike ,kwel, (kwel) archaic,архаичный,
arkitekter ,kwo, (kwo) architect,архитектор; arkitektura архитектура,
arkitektura ,kwo, (kwo) architecture,,
arkiva ,kwo," (kwo) archive, archives",архив; arkivi архивировать,
arkivi ,zwo, (zwo) archive,,
Arktika ,kwo, (kwo) the Arctic,Арктика; arktike арктический,
arktike ,kwel, (kwel) arctic,,
Arktike Osean ,kwo, (kwo) Arctic Ocean,Северный Ледовитый океан,
arku ,kwo, (kwo) bow (weapon),лук (оружие); Arkuman Стрелец (знак зодиака),
Arkuman ,kwo, (kwo) Sagittarius,,
arma ,kwo, (kwo) weapon,оружие; armas вооружения; armisi вооружать; armisa вооружение (действие); stal-arma холодное оружие; agni-arma огнестрельное оружие; arma-dun бойница,
