UROPI,FRANÇAIS,ENGLISH,ESPAÑOL,DEUTSCH,РУССКИЙ,ITALIANO
anacepli,inacceptable,unacceptable,,,,
anadapten,"inadapté, inadéquat","inadequate, unadapted",,,,
anadaptili,inadaptable,,,,,
anafekten,non affecté,,,,,
anafrajan,"non effrayant, qui ne fait pas peur",,,,,
anagonen,sans opposition,,,,,
anagripad,non-agression,,,,,
anagrizen,"inculte, non cultivé (terre)",,,,,
anaki,émoussé,,,,,
anakronic,anachronique,,,,,
anakronisma,anachronisme,,,,,
anaksenten,inaccentué,,,,,
anaktad,inaction,,,,,
anaktivi,inactif,,,,,
anaktivid,inactivité,,,,,
anale,annales,,,,,
analfabeti,analphabète adj.,,,,,
analìst,analyste,,,,,
analìz,analyse,analysis,análisis,Analyse,анализ,analisi
analizèl,analysateur,,,,,
analìzi,analytique,,,,,
analìzo,analyser,analyze (to),analizar,analysieren,анализировать,analizzare
analizor,analyste,,,,,
analogic,analogue,"analogous, similar",,,,
analogij,analogie,analogy,,,,
ananàs,ananas (fruit),pineapple,,,,
ananasar,ananas (plante),,,,,
ananemli,inadmissible,,,,,
ananerli,"inaccessible, inabordable",,,,,
anapacen,"inapaisé, inassouvi",,,,,
anapcalili,irrévocable,irrevocable,,,,
anapcizli,inséparable,,,,,
anapdavan,"qui ne cède pas, n'aban-donne pas",,,,,
anapdavli,"inaliénable, auquel on ne paut pas renoncer",,,,,
anapdetli,irrévocable (qu'on ne peut pas supprimer),,,,,
anapeli,"sans appel (adj), péremptoire",,,,,
anapelim,sans appel adv.,,,,,
anapetìt,manque d'appétit,,,,,
anapetitan,peu appétissant,,,,,
anapitli,inévitable,inevitable,inevitable,unvermeidlich,неизбежный,inevitabile
anapitlim,inexorablement,,,,,
anapkurten,non abrégé,,,,,
anaplavli,"ineffaçable, qu'on ne peut laver, effacer",,,,,
anapmuvli,inamovible,,,,,
anapnemli,"imprescriptible, qu'on ne peut enlever",,,,,
anapolnen,inaccompli,,,,,
anapolnili,"irréalisable, impossible à accomplir",,,,,
anaposnili,"sans retard, sans délai (adj.)",,,,,
anapregen,non réglé,,,,,
anaprizen,non apprécié,,,,,
anaprodli,indéracinable,,,,,
anapruvli,"injustifiable, qu'on ne peut pas approuver",,,,,
anapskrivli,imprescriptible,,,,,
anapskutli,inébranlable,,,,,
anapteni,intempérant,,,,,
anaptenid,intempérance,,,,,
anaptrofli,"ineffaçable, indélébile",,,,,
anapvicli,inéluctable,,,,,
anapvirli,"qu'on ne peut pas détour-ner inéluctable, incontour-nable",,,,,
anarkic,anarchique,anarchic,,,,
anarkij,anarchie,anarchy,,,,
anarkisma,anarchisme,,,,,
anarkìst,anarchiste N,,,,,
anarkisti,anarchiste adj.,,,,,
anarmen,désarmé (sans arme),unarmed,,,,
anaro,noircir (rendre noir),,,,,
anasikuren,non assuré,,,,,
anasisten,"sans assistance, sans aide",,,,,
anastapli,inaccessible,,,,,
anatakli,inattaquable,,,,,
anatensad,inattention,,,,,
anatensi,inattentif,inattentive,,,,
anatensid,inadvertance,inattention,,,,
anatensim,par inadvertance,,,,,
anatogli,inaccessible,,,,,
anatoglid,inaccessibilité,,,,,
Anatolia,Anatolie,,,,,
anatomic,anatomique,anatomical,,,,
anatomij,anatomie,anatomy,,,,
anatrajan,"peu attirant, peu attrayant",,,,,
anavad,indigence,,,,,
anavadli,"inaccessible, inabordable",inaccessible,,,,
anavan,indigent,,,,,
anbaldi,sans audace,,,,,
anbaptizen,non baptisé,,,,,
anbarbi,imberbe,,,,,
anbazen,non-fondé,,,,,
anbecepli,irrecevable,,,,,
anbecizad,indécision,,,,,
anbecizen,indécis,undecided,indeciso,unentschlossen,нерешительный,indeciso
anbediken,non démontré,,,,,
anbedikli,indémontrable,,,,,
anbefendad,indétermination,,,,,
anbefenden,"indéfini, indéterminé",indeterminate,indeterminado,unbestimmt,неопределённый,indeterminato
anbefendili,indéfinissable,,,,,
anbeglizen,inaperçu,,,,,
anbekesten,incontesté,,,,,
anbekestili,incontestable,,,,,
anbemarken,"inaperçu, qu'on ne remarque pas",,,,,
anbemarkli,"non remarquable, quelconque",,,,,
anbenegli,indéniable,,,,,
anbeneglim,indéniablement,,,,,
anbenemen,inoccupé (personne),,,,,
anbesaiten,non consacré,,,,,
anbeservan,"peu méritant, qui ne mérite pas",,,,,
anbeserven,immérité,undeserved,,,,
anbeskrivli,indescriptible,,,,,
anbeskucad,"désobéissance, insoumis-sion",,,,,
"anbeskucan, anbeskuci","désobéissant, insoumis (enfant)",,,,,
anbesluzad,irrésolution,,,,,
anbesluzen,irrésolu,,,,,
anbespekad,non-observation,,,,,
anbespekan,peu observateur,,,,,
anbiten,"non battu, inégalé, invaincu",,,,,
anbitli,imbattable,,,,,
anblamli,"irréprochable, qu'on ne peut blâmer",,,,,
anbojen,"insoumis, indompté",,,,,
anbojli,"inflexible, intrangigeant",,,,,
anbojlid,inflexibilité,,,,,
anbònd,"abîme, abysse",abyss,abismo,Abgrund,"бездна, пропасть",abisso
anbondi,"sans fond, abyssal",,,,,
anbreken,"non-cassé, non-brisé, continu (ligne)",,,,,
anbrekli,incassable,unbreakable,,,,
anbrenli,incombustible,,,,,
anbriden,"débridé, effréné",,,,,
anbùn,indisposé (malade),"unwell, indisposed",,,,
anbundavi,peu généreux,,,,,
anbunvenen,"indésirable, qui n'est pas le bienvenu",,,,,
ancajen,non chauffé,,,,,
ancamen,"non ombragé, sans ombre",,,,,
"ancàns, pej cans",infortune,,,,,
ancansi,malchanceux,unlucky,,,,
ancansi,infortuné,unlucky,,,,
anceken,non recherché,,,,,
ancelen,"non caché, découvert, non dissimulé",,,,,
ancelim,"ouvertement, au grand jour",,,,,
ancensuren,non censuré,,,,,
ancepen,"qui n'a pas été pris, non-saisi",,,,,
ancepli,insaisissable,,,,,
anceren,"peu soigné, négligé",,,,,
anceri,pas soigneux,,,,,
ancerid,"négligence, incurie",,,,,
ancerni,"écervelé, sans cervelle",,,,,
ancernin,écervelé (N),,,,,
ancesti,"qui ne plaisante pas, sérieux",,,,,
ancestim,sans plaisanter,,,,,
ancivilizen,non civilisé,,,,,
ancòj,pas timide,,,,,
ancòv,anchois,,,,,
ancusti,"impudique, non chaste",,,,,
ancustid,impudicité,,,,,
"and, anda","canard, cane",duck,,,,
"Andalùs, -a","Andalou, -se (N)",,,,,
Andalusi,"andalou, -se (adj)",,,,,
Andalusia,Andalousie,,,,,
andamen,indemne,unharmed,,,,
andami,"inoffensif, anodin",,,,,
andanti,"édenté, sans dents",,,,,
andaski,ingrat (adj.),"thankless, ungrateful",,,,
andaskid,ingratitude,ingratitude,,,,
andaten,non-daté,,,,,
andeli,oisif,idle,,,,
andelid,oisiveté,idleness,,,,
andelikati,indélicat,,,,,
andelikatid,indélicatesse,,,,,
andenji,"impécunieux, sans argent",,,,,
andestic,maladroit,awkward,torpe,ungeschickt,неловкий,"maldestro, goffo"
andestij,maladresse,,,,,
andetic,inerte,,,,,
andetij,inertie,,,,,
andetli,infaisable,feasible (not -),,,,
andezen,"non-dit, passé sous silence",,,,,
andezli,indicible,,,,,
andi,de canard (adj.),,,,,
andicelen,"non-décelé, non-détecté",,,,,
andicelili,"indécelable, indétectable",,,,,
andiciplin,indiscipline,,,,,
andiciplinen,indiscipliné,,,,,
andicten,non-enseigné,,,,,
andifensi,sans défense,,,,,
andifensili,indéfendable,,,,,
andigni,indigne,,,,,
andignid,indignité,,,,,
andiklevli,indécollable,,,,,
andiplomatic,"peu diplomate, qui manque de diplomatie",,,,,
andiplomen,non diplomé,,,,,
andipruvli,irréfutable,,,,,
andirekti,indirect,indirect,,,,
andirektim,indirectement,indirectly,,,,
andiscizen,indivis,,,,,
andiscizli,indivisible,,,,,
andiscizlid,indivisibilité,,,,,
andisdaven,non distribué,,,,,
andisformili,indéformable,,,,,
andisjutli,indissociable,,,,,
andisklinli,indéclinable,,,,,
andiskreti,indiscret,,,,,
andiskretid,indiscrétion,,,,,
andiskridli,"indiscernable, qu'on ne peut distinguer",,,,,
andiskroven,non découvert,,,,,
andislasli,indispensable,indispensable,indispensable,unerläßlich,необходимый,indispensabile
andisluzli,"insoluble, indissoluble",,,,,
andismezi,disproportionné,,,,,
andismicli,"indémêlable, inextricable",,,,,
andisparti,sans partage (adj.),,,,,
andispartim,sans partage (adv.),,,,,
andisponli,indisponible,,,,,
andissetli,indécomposable,,,,,
andissigi,indistinct,,,,,
andissigim,indistinctement,,,,,
andissprajen,non distrait,,,,,
andistruli,indestructible,,,,,
andisvarad,indigestion,indigestion,indigestión,Verdauungsstörung,несварение,indigestione
andisvaren,non digéré,,,,,
andisvarli,indigeste,indigestible,,,,
andisvizan,qui manque de discernement,,,,,
andisvizli,indiscernable,,,,,
andisvokli,indiscutable,,,,,
andisvolpen,non développé,,,,,
andit,caneton,,,,,
andojic,athée (adj.),,,,,
andojisma,athéisme,,,,,
andojìst,athée (N),,,,,
andoli,indolore,,,,,
andolim,sans douleur (adj.),,,,,
andoman,sans-abri,,,,,
andomen,inhabité,uninhabitable,,,,
andomizen,"indompté, non apprivoisé",,,,,
andomizli,indomptable,,,,,
andomizlid,indomptabilité,,,,,
andomli,inhabitable,,,,,
andoʒen,"indu, incongru",,,,,
andoʒim,indûment,,,,,
andrevi,sans arbres,,,,,
andubi,indubitable,,,,,
andubim,sans aucun doute,undoubtedly,duda alguna (sin),Zweifel (ohne),несомненно,dubbio (senza)
andufi,inodore,,,,,
anduran,qui ne dure pas,,,,,
andurli,"qui ne peut pas durer, éphémère",,,,,
andusini,non équivoque,,,,,
andusinim,sans ambiguité,,,,,
andùv,"peu profond, fig. superficiel",,,,,
ane,sans,without,sin,ohne,без,senza
anefektivi,inefficace,,,,,
anefektivid,inefficacité,,,,,
anegli,inégal,unequal,,,,
aneglid,inégalité,inequality,,,,
aneglijusti,inéquitable,,,,,
aneglim,inégalement,,,,,
aneglivèz,déséquilibre,,,,,
aneglivezen,f,,,,,
anekdòt,anecdote,anecdote,,,,
anekdoti,anecdotique,,,,,
aneldan,"peu obligeant, peu secourable",,,,,
anelden,"1) sans aide 2) empoté, emprunté",,,,,
aneleganti,inélégant,,,,,
anelegantid,inélégance,,,,,
anemic,anémique,anaemic,,,,
anemij,anémie,anaemia,,,,
anemli,acceptable,admissible,,,,
anemo,admettre (accepter),admit (to),,,,
anenomi,anonyme,anonymous,,,,
anenomid,anonymat,anonymity,,,,
anerad,approche,approach,,,,
anerdi,sans héritier (adj.),,,,,
anerdim,sans héritier (adv.),,,,,
anero,approcher (s' -),approach (to),acercar(se),nähern (sich),приближать(ся),avvicinarsi
anesistad,inexistence,,,,,
anesistan,inexistant,,,,,
anestesic (adj.),anesthésique,,,,,
anestesij,anesthésie,,,,,
anestesijo,anesthésier,,,,,
anestesìst,anesthésiste,,,,,
anestetiki,inesthétique,,,,,
anevi,non-éternel,,,,,
anfajim,immanquablement,,,,,
anfajli,infaillible,,,,,
anfalsizen,non falsifié,,,,,
anfamilic,peu familier,,,,,
anfarli,impraticable (en véhicule),,,,,
anfavori,"non préféré, non favori",unfavourable,desfavorable,ungünstig,неблагоприятный,sfavorevole
anfavorli,défavorable,,,,,
anfeden,infidèle,unfaithful,,,,
anfedenad,infidélité,unfaithfulness,,,,
anfedli,"peu fiable, sur qui on ne peut pas compter",,,,,
anfedlid,manque de fiabilité,,,,,
anfelad,insensibilité,,,,,
anfelan,insensible,,,,,
anfeli,"impassible, indifférent, insensible",,,,,
anfelic,malheureux,,,,,
anfelic,malheureux (adj.),,,,,
anfelicim,malheureusement,,,,,
anfelid,"impassibilité, indifférence",,,,,
anfelij,malheur,,,,,
anfenden,inachevé,unfinished,,,,
anfendi,infini (adj),infinite,,,,
anfendid,"infinité, infini (N)",infinity,,,,
anfendili,interminable,,,,,
anfendim,"sans fin, infiniment",,,,,
anfìn,"pas fin, peu délicat",,,,,
anfindili,introuvable,,,,,
anfìst,"mal fixé, peu solide",,,,,
anflabivan,"qui ne faiblit pas, ne se relâche pas",,,,,
anflabivim,"avec acharnement, sans relâche",,,,,
anflabivli,"qui ne faiblit pas, infatigable",,,,,
anflami,sans flamme,,,,,
anflatan,peu flatteur,,,,,
anfleksi,inflexible,,,,,
anfleli,sans ailes,,,,,
anflesli,irrespirable,,,,,
anfoli,sans feuilles,,,,,
anforceri,imprévoyant,,,,,
anforcerid,imprévoyance,,,,,
"anforìtem, ane forìten",sans précédent (adv.),,,,,
anforìten,sans précédent (adj),,,,,
anforìti,sans précédent,,,,,
anformen,non formé,,,,,
anformenen,non prémédité,,,,,
anformi,informe,,,,,
anformid,difformité,,,,,
anforpredi,improvisé,,,,,
anforsen,"sans contrainte, non contraint",,,,,
anforsim,sans contrainte (adv),,,,,
anfortuni,infortuné (adj),,,,,
anforvizan,imprévoyant,,,,,
anforvizen,imprévu,unforeseen,,,,
anforvizli,imprévisible,,,,,
anforzavan,ignorant de l'avenir,,,,,
anforʒuden,"sans préjugés, impartial",,,,,
anfraji,"sans peur, qui n'a pas peur",fearless,,,,
anfrajic,intrépide,,,,,
anfrajim,sans avoir peur (adv),,,,,
anframad,inimitié,,,,,
anframi,"inamical, hostile",,,,,
anframic,"peu aimable, peu affable, peu sympathique",,,,,
anframid,"manque d'amabilité, froideur",,,,,
anfremen,effréné,,,,,
anfrìc,pas frais,,,,,
anfricad,manque de fraîcheur,,,,,
anfrizen,non coiffé,,,,,
anfrozen,"non gelé, non congelé",,,,,
anfrutic,infructueux (fig),,,,,
anfrutiperi,"infructueux, qui ne porte pas de fruits",,,,,
anfrutli,"stérile, infertile","fruitless, unfruitful",,,,
anfrutlid,stérilité,,,,,
anfunden,infondé,,,,,
angamen,"cul de jatte, sans jambes",,,,,
angaranten,non garanti,,,,,
angarden,non gardé,,,,,
"angel, pl. -gle",angle,,,,,
angenen,pas encore né,,,,,
angeniveri,inauthentique,,,,,
angiden,non guidé,,,,,
angin,angine,pharyngitis,,,,
angiven,non-mâché,,,,,
anglàj,"rabat-joie, mécontent, pas marrant","disgruntled, discontented",,,,
anglasen,non vitré,,,,,
angli,angulaire,,,,,
anglodi,"non sanglant, non saignant (adj.)",,,,,
anglodim,sans verser le sang (adv.),,,,,
anglori,"peu glorieux, sans gloire",,,,,
Angola,Angola,,,,,
"Angolan, -a","Angolais, -e",,,,,
angondezli,"irréfutable, incontestable",,,,,
angorden,non enclos,,,,,
angòst,"angoisse, pl. affres",anguish,angustia,"Angst, Bangigkeit","тоска, тревога",angoscia
angosti,angoissé,anguished,,,,
angostic,anxieux,anxious,,,,
angostiframi,inhospitalier,,,,,
angovernili,ingouvernable,,,,,
angrabli,insaisissable,,,,,
angraden,non gradué,,,,,
angràs,"manque de grâce, disgrâce",,,,,
angrasi,"sans grâce, peu grâcieux",,,,,
angraven,non creusé,,,,,
angrazi,sans herbe,,,,,
angusid,"aversion, antipathie",dislike,aversión,Abneigung,неприязнь,avversione
angusten,auquel on n'a pas goûté,,,,,
angusti,"fade, insipide",,,,,
angusti (deto - ),affadir (goût),,,,,
angusti (vido - ),s'affadir (goût),,,,,
angustili,ingoûtable,,,,,
anharmonic,"inharmonieux, discordant",,,,,
anhasti,pas pressé,,,,,
anhastim,sans se presser,,,,,
anhigieni,"sans hygiène, insalubre",,,,,
anhistori,non historique,,,,,
anhostic,inhospitalier,,,,,
anhuman,inhumain,,,,,
anhumanad,inhumanité,,,,,
anhumani,inhumain (traitement),,,,,
animaʒinan,peu imaginatif,,,,,
animaʒinli,inimaginable,,,,,
aninalmen,inanimé,,,,,
aninbrekli,inviolable,,,,,
aninceli,immodeste,,,,,
anincelid,immodestie,,,,,
anincepad,incompréhension,,,,,
anincepen,incompris,,,,,
anincepli,incompréhensible,,,,,
aninceplim,de manière incompréhen-sible,,,,,
anincuren,inassermenté,,,,,
anindaven,"peu doué, sans talent",,,,,
aninflamli,ininflammable,,,,,
aninflujan,sans influence,,,,,
aninflujen,qui n'est pas influencé,,,,,
aninformen,non informé,,,,,
aningruben,non enseveli,,,,,
aninlasli,inadmissible,,,,,
aninlucen,peu éclairé,,,,,
aninluzen,non dilué,,,,,
aninmicad,non-ingérence,,,,,
aninmuven,"non ému, impassible",,,,,
aninmuvi,peu émotif,,,,,
aninpaken,non emballé,,,,,
aninpoden,"non entravé, sans entraves",,,,,
aninpodim,sans entraves,,,,,
aninpresan,peu impressionnant,,,,,
aninpresen,peu impressionné,,,,,
aninpriten,non imprimé,,,,,
aninregi,malhonnête,dishonest,deshonesto,"unehrlich, unredlich",нечестный,disonesto
aninregid,malhonnêteté,dishonesty,,,,
aninsaiten,non-initié,,,,,
aninsani,inessentiel,,,,,
aninsiedi,indécent,"indecent, improper",,,,
aninsiedid,indécence,,,,,
aninspirten,qui manque d'inspiration,,,,,
aninstazli,irremplaçable,,,,,
aninstruen,sans formation,,,,,
aninteli,non intentionnel,,,,,
aninteligad,manque d'intelligence,,,,,
aninteligan,inintelligent,,,,,
anintelim,"pas exprès, sans intention, sans le vouloir",,,,,
anintemi,"inopportun, mal à propos",,,,,
anintemim,"à contre-temps, mal à propos, hors de saison",,,,,
aninteni,incontinent,,,,,
aninterès,manque d'intérêt,,,,,
aninteresan,inintéressant,,,,,
aninteresen,"non intéressé, pas intéressé",,,,,
anintrabreken,ininterrompu,,,,,
anintrakoten,ininterrompu,uninterrupted,,,,
anintranemi,"peu entreprenant, sans initiative",,,,,
anintratenen,non entretenu,,,,,
anintravenad,non-intervention,,,,,
aninuzli,inapplicable,,,,,
aninvarkili,inemployable,,,,,
aninvarten,inattendu,,,,,
aninvidli,peu enviable,,,,,
aninviten,qui n'a pas été invité,,,,,
aninvolten,"non engagé, non impliqué",,,,,
aniòn,anion,,,,,
aniran,"qui ne se trompe pas, sans faute",,,,,
anirim,"sans faute, sans erreur",,,,,
anirli,"infaillible, qui ne se trompe pas",,,,,
anìs,anis,,,,,
anisen,anisette,,,,,
anisi,"à l'anis, d'anis, anisé",,,,,
anìtad,anéantissement,anihilation,,,,
anìto,anéantir,"annihilate, wipe out",,,,
anizad,"abaissement, baisse (action de baisser)",lowering,,,,
anizo,"abaisser, baisser",lower (to),,,,
anjedli,immangeable,"uneatable, inedible",,,,
